# 2Theta    Intensity
4.0209e+00  9.2130e+00
4.0269e+00  9.2871e+00
4.0329e+00  9.6356e+00
4.0390e+00  9.7337e+00
4.0450e+00  1.0127e+01
4.0510e+00  1.0791e+01
4.0570e+00  1.1434e+01
4.0631e+00  1.1554e+01
4.0691e+00  1.1831e+01
4.0751e+00  1.1149e+01
4.0811e+00  1.0577e+01
4.0871e+00  1.0136e+01
4.0932e+00  1.0029e+01
4.0992e+00  1.0073e+01
4.1052e+00  1.0114e+01
4.1112e+00  1.0182e+01
4.1173e+00  1.0156e+01
4.1233e+00  1.0452e+01
4.1293e+00  1.0467e+01
4.1353e+00  1.0323e+01
4.1413e+00  1.0083e+01
4.1474e+00  9.5094e+00
4.1534e+00  9.5199e+00
4.1594e+00  9.1357e+00
4.1654e+00  8.8620e+00
4.1715e+00  8.8896e+00
4.1775e+00  8.8808e+00
4.1835e+00  8.7346e+00
4.1895e+00  8.7418e+00
4.1955e+00  8.4691e+00
4.2016e+00  8.4088e+00
4.2076e+00  8.4277e+00
4.2136e+00  8.3326e+00
4.2196e+00  8.4041e+00
4.2256e+00  8.2609e+00
4.2317e+00  8.4506e+00
4.2377e+00  8.2392e+00
4.2437e+00  8.3052e+00
4.2497e+00  8.5099e+00
4.2557e+00  8.3999e+00
4.2618e+00  8.3475e+00
4.2678e+00  8.5457e+00
4.2738e+00  8.4919e+00
4.2798e+00  8.6614e+00
4.2858e+00  8.4977e+00
4.2919e+00  8.3936e+00
4.2979e+00  8.3301e+00
4.3039e+00  8.2970e+00
4.3099e+00  8.2775e+00
4.3159e+00  8.1575e+00
4.3220e+00  8.2221e+00
4.3280e+00  8.4107e+00
4.3340e+00  8.1153e+00
4.3400e+00  8.1301e+00
4.3460e+00  8.1648e+00
4.3521e+00  8.2192e+00
4.3581e+00  8.2025e+00
4.3641e+00  8.2439e+00
4.3701e+00  8.2662e+00
4.3761e+00  8.4278e+00
4.3822e+00  8.7356e+00
4.3882e+00  8.6713e+00
4.3942e+00  8.7616e+00
4.4002e+00  8.3876e+00
4.4062e+00  8.2918e+00
4.4122e+00  8.3104e+00
4.4183e+00  8.1059e+00
4.4243e+00  8.2689e+00
4.4303e+00  8.0798e+00
4.4363e+00  8.0645e+00
4.4423e+00  8.1476e+00
4.4483e+00  8.1402e+00
4.4544e+00  8.0118e+00
4.4604e+00  8.3523e+00
4.4664e+00  8.3379e+00
4.4724e+00  8.0386e+00
4.4784e+00  8.3680e+00
4.4844e+00  8.3535e+00
4.4905e+00  8.6473e+00
4.4965e+00  9.0010e+00
4.5025e+00  9.3294e+00
4.5085e+00  1.1271e+01
4.5145e+00  1.4116e+01
4.5205e+00  2.4358e+01
4.5266e+00  4.6810e+01
4.5326e+00  6.4013e+01
4.5386e+00  8.8503e+01
4.5446e+00  8.2562e+01
4.5506e+00  6.6597e+01
4.5566e+00  3.8680e+01
4.5627e+00  2.2292e+01
4.5687e+00  1.4587e+01
4.5747e+00  1.0837e+01
4.5807e+00  9.4715e+00
4.5867e+00  9.0575e+00
4.5927e+00  8.6593e+00
4.5987e+00  8.2615e+00
4.6048e+00  8.1956e+00
4.6108e+00  8.2361e+00
4.6168e+00  8.0311e+00
4.6228e+00  8.1692e+00
4.6288e+00  8.0722e+00
4.6348e+00  7.8443e+00
4.6408e+00  7.9227e+00
4.6469e+00  7.9341e+00
4.6529e+00  7.9406e+00
4.6589e+00  7.8650e+00
4.6649e+00  7.6747e+00
4.6709e+00  7.8790e+00
4.6769e+00  7.4587e+00
4.6829e+00  7.8109e+00
4.6890e+00  7.7627e+00
4.6950e+00  7.7334e+00
4.7010e+00  7.6542e+00
4.7070e+00  7.5189e+00
4.7130e+00  7.6692e+00
4.7190e+00  7.5862e+00
4.7250e+00  7.7971e+00
4.7310e+00  7.7525e+00
4.7371e+00  7.6343e+00
4.7431e+00  7.7135e+00
4.7491e+00  7.9829e+00
4.7551e+00  7.9739e+00
4.7611e+00  7.8001e+00
4.7671e+00  7.9124e+00
4.7731e+00  7.4518e+00
4.7791e+00  7.4296e+00
4.7851e+00  7.3003e+00
4.7912e+00  7.5687e+00
4.7972e+00  7.3175e+00
4.8032e+00  7.4548e+00
4.8092e+00  7.5940e+00
4.8152e+00  7.3438e+00
4.8212e+00  7.3050e+00
4.8272e+00  7.4076e+00
4.8332e+00  7.5071e+00
4.8392e+00  7.4570e+00
4.8453e+00  7.4713e+00
4.8513e+00  7.3032e+00
4.8573e+00  7.2298e+00
4.8633e+00  7.4192e+00
4.8693e+00  7.2972e+00
4.8753e+00  7.4510e+00
4.8813e+00  7.4094e+00
4.8873e+00  7.7301e+00
4.8933e+00  7.6027e+00
4.8994e+00  7.7277e+00
4.9054e+00  7.6453e+00
4.9114e+00  7.6913e+00
4.9174e+00  7.6161e+00
4.9234e+00  7.3648e+00
4.9294e+00  7.7303e+00
4.9354e+00  7.8232e+00
4.9414e+00  7.6241e+00
4.9474e+00  7.6330e+00
4.9534e+00  7.7517e+00
4.9594e+00  7.8914e+00
4.9654e+00  8.0634e+00
4.9715e+00  8.5860e+00
4.9775e+00  8.5367e+00
4.9835e+00  8.3425e+00
4.9895e+00  8.0501e+00
4.9955e+00  7.9458e+00
5.0015e+00  7.8266e+00
5.0075e+00  7.5945e+00
5.0135e+00  7.4598e+00
5.0195e+00  7.2773e+00
5.0255e+00  7.2355e+00
5.0315e+00  7.3406e+00
5.0375e+00  7.2440e+00
5.0435e+00  7.3554e+00
5.0496e+00  7.2627e+00
5.0556e+00  7.1432e+00
5.0616e+00  7.1758e+00
5.0676e+00  7.3210e+00
5.0736e+00  7.0809e+00
5.0796e+00  7.3451e+00
5.0856e+00  7.1072e+00
5.0916e+00  7.6050e+00
5.0976e+00  7.2848e+00
5.1036e+00  7.4159e+00
5.1096e+00  7.2654e+00
5.1156e+00  7.2756e+00
5.1216e+00  7.2659e+00
5.1276e+00  7.1770e+00
5.1336e+00  7.5235e+00
5.1396e+00  7.4643e+00
5.1456e+00  7.7903e+00
5.1517e+00  7.7104e+00
5.1577e+00  7.8746e+00
5.1637e+00  7.6569e+00
5.1697e+00  7.5678e+00
5.1757e+00  7.3705e+00
5.1817e+00  7.5817e+00
5.1877e+00  7.3475e+00
5.1937e+00  7.4887e+00
5.1997e+00  7.7424e+00
5.2057e+00  8.1104e+00
5.2117e+00  8.8331e+00
5.2177e+00  1.1149e+01
5.2237e+00  1.5425e+01
5.2297e+00  2.4096e+01
5.2357e+00  3.5691e+01
5.2417e+00  4.7986e+01
