# 2Theta    Intensity
5.0454e+00  1.1662e+01
5.0514e+00  1.1627e+01
5.0573e+00  1.1607e+01
5.0633e+00  1.1679e+01
5.0693e+00  1.1607e+01
5.0752e+00  1.1601e+01
5.0812e+00  1.1615e+01
5.0872e+00  1.1483e+01
5.0931e+00  1.1665e+01
5.0991e+00  1.1514e+01
5.1050e+00  1.1603e+01
5.1110e+00  1.1573e+01
5.1170e+00  1.1481e+01
5.1229e+00  1.1656e+01
5.1289e+00  1.1569e+01
5.1348e+00  1.1567e+01
5.1408e+00  1.1601e+01
5.1468e+00  1.1587e+01
5.1527e+00  1.1582e+01
5.1587e+00  1.1584e+01
5.1646e+00  1.1567e+01
5.1706e+00  1.1585e+01
5.1766e+00  1.1502e+01
5.1825e+00  1.1565e+01
5.1885e+00  1.1483e+01
5.1944e+00  1.1502e+01
5.2004e+00  1.1496e+01
5.2064e+00  1.1503e+01
5.2123e+00  1.1598e+01
