# E          s-dos       p-dos       d-dos       f-dos
-7.4000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.3000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.2000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.1000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-7.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.9000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.8000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.7000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.6000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.5000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.4000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.3000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.2000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.1000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-6.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-5.9000e+00  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
-5.8000e+00  5.6958e-05  6.6747e-06  8.9769e-05  1.0798e-06
-5.7000e+00  5.3771e-01  1.2382e-01  1.9646e+00  1.3654e-02
-5.6000e+00  1.4000e+00  3.9630e-01  5.6355e+00  3.8930e-02
-5.5000e+00  1.9176e+00  6.4736e-01  8.5851e+00  5.8316e-02
-5.4000e+00  1.7235e+00  8.2010e-01  9.7914e+00  6.1977e-02
-5.3000e+00  1.1663e+00  9.1392e-01  8.8374e+00  5.4976e-02
-5.2000e+00  1.0249e+00  1.1231e+00  9.8488e+00  6.5160e-02
-5.1000e+00  8.7649e-01  1.2513e+00  1.0435e+01  7.0531e-02
-5.0000e+00  6.8119e-01  1.3059e+00  1.1590e+01  7.2205e-02
-4.9000e+00  3.7301e-01  1.4994e+00  1.2175e+01  6.6668e-02
-4.8000e+00  2.2478e-01  1.5696e+00  1.2502e+01  6.1271e-02
-4.7000e+00  1.7275e-01  1.6138e+00  1.3534e+01  5.4962e-02
-4.6000e+00  1.7417e-01  1.4719e+00  1.2428e+01  4.2823e-02
-4.5000e+00  2.1072e-01  1.7628e+00  1.2054e+01  4.2214e-02
-4.4000e+00  1.9938e-01  1.4569e+00  8.8598e+00  3.9139e-02
-4.3000e+00  1.8980e-01  1.0363e+00  7.3536e+00  4.1154e-02
-4.2000e+00  2.2162e-01  3.8023e-01  6.4637e+00  4.8494e-02
-4.1000e+00  3.4773e-01  3.5218e-01  8.0716e+00  6.9854e-02
-4.0000e+00  5.1272e-01  4.4565e-01  9.0696e+00  9.6672e-02
-3.9000e+00  5.6088e-01  5.0445e-01  8.7482e+00  1.0736e-01
-3.8000e+00  4.9111e-01  5.5448e-01  7.5870e+00  1.0298e-01
-3.7000e+00  3.6161e-01  6.0761e-01  7.6219e+00  9.7167e-02
-3.6000e+00  2.6729e-01  6.3022e-01  7.4322e+00  9.0789e-02
-3.5000e+00  2.1352e-01  6.5925e-01  7.3245e+00  8.8455e-02
-3.4000e+00  1.5517e-01  6.5685e-01  6.5225e+00  7.9668e-02
